News ID,Committee ID,Committee Name,Heading,Teaser,Full Text Word Count,Full Text Readability,Date Published
212572,24,Defence Committee,Defence Committee statement: developments in the Middle East,Defence Committee statement: developments in the Middle East,194,Error calculating score,2026-03-10T17:02:45+00:00
211611,24,Defence Committee,Defence and Public Accounts Committee Chairs: delay to DIP publication “risks sending damaging signals to adversaries”,"Chair of the Defence Committee, Tan Dhesi MP, and Chair of the Public Accounts Committee, Sir Geoffrey Clifton-Brown MP, have written a joint letter to the Permanent Secretary at the Ministry of Defence (MOD), Jeremy Pocklington, seeking clarity on when the Defence Investment Plan (DIP) will be published.",171,Error calculating score,2026-01-28T14:54:31+00:00
211600,24,Defence Committee,New inquiry: Defence in the High North,"Melting polar ice caps are increasing access to the Arctic and High North region, with significant defence and security implications for the UK, and recent weeks have seen increased global focus on the strategic importance of the region.",607,Error calculating score,2026-01-28T09:11:55+00:00
211554,24,Defence Committee,Defence Committee Chair responds to President Trump’s “belittlement of the contribution of the UK and other NATO allies”,The Defence Committee has issued a statement responding to the President Trump’s comments on the contribution of the UK and other NATO allies in Afghanistan.,126,Error calculating score,2026-01-23T17:34:57+00:00
211553,24,Defence Committee,Defence Secretary to face Committee questions,"John Healey, the Secretary of State for Defence, will give evidence to the Defence Committee at 2pm on Tuesday 27 January.",232,Error calculating score,2026-01-23T17:07:19+00:00
211209,24,Defence Committee,Defence Committee statement: Ukraine,Defence Committee statement: Ukraine,218,Error calculating score,2026-01-08T09:30:59+00:00
210866,24,Defence Committee,Defence Committee Chair responds to death of UK armed forces member in Ukraine,Defence Committee Chair responds to death of UK armed forces member in Ukraine,112,Error calculating score,2025-12-10T10:42:48+00:00
210682,24,Defence Committee,Defence Committee publishes further evidence related to Afghan Data Breach and Resettlement Schemes,Defence Committee publishes further evidence related to Afghan Data Breach and Resettlement Schemes,136,Error calculating score,2025-11-28T11:17:48+00:00
210605,24,Defence Committee,Defence Committee statement: Ukraine,Defence Committee statement: Ukraine,256,Error calculating score,2025-11-24T12:20:17+00:00
210521,24,Defence Committee,Defence Committee: “questions raised about UK’s fundamental ability to defend itself”,"In a report published today, the Defence Committee sounds the alarm over the UK’s ability to defend its homeland and Overseas Territories, finding that we may be failing to meet our NATO Article 3 obligations to “maintain and develop individual and collective capacity to resist armed attack”.",890,Error calculating score,2025-11-19T11:33:37+00:00
209953,24,Defence Committee,"Journalists from the Times, the Mail and the Independent to give opening evidence on Afghan data breach and super-injunction","Journalists from the Times, the Mail and the Independent to give opening evidence on Afghan data breach and super-injunction",160,Error calculating score,2025-10-30T12:33:39+00:00
